GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
server,by.training.cryptomarket.service,WalletService,0,15,0,0,0,5,0,3,0,3
server,by.training.cryptomarket.service,OrderService,106,70,12,8,26,18,10,8,4,4
server,by.training.cryptomarket.service,TransactionService,47,192,5,13,13,49,6,11,3,5
server,by.training.cryptomarket.service,UserDetailsServiceImpl,38,3,0,0,10,1,1,1,1,1
server,by.training.cryptomarket.service,CryptoPairService,26,128,4,10,6,27,3,8,1,3
server,by.training.cryptomarket.service,UserService,28,95,5,9,6,25,4,10,1,6
server,by.training.cryptomarket.config,WebAppInitializer,39,0,0,0,8,0,2,0,2,0
server,by.training.cryptomarket.config,SpringConfig,93,50,0,0,25,12,7,4,7,4
server,by.training.cryptomarket.config,StandaloneMvcTestViewResolver,0,13,0,0,0,5,0,2,0,2
server,by.training.cryptomarket.config,SpringSecurityConfig,0,119,0,0,0,19,0,4,0,4
server,by.training.cryptomarket.config,SecurityWebApplicationInitializer,9,0,0,0,2,0,1,0,1,0
server,by.training.cryptomarket.controller,MarketController,178,59,7,1,52,16,11,6,7,6
server,by.training.cryptomarket.controller,ExceptionHandlerController,13,3,0,0,3,1,1,1,1,1
server,by.training.cryptomarket.controller.filter,EncodingFilter,13,0,0,0,6,0,4,0,4,0
server,by.training.cryptomarket.controller.listener,MarketServletListener,59,0,4,0,13,0,6,0,4,0
server,by.training.cryptomarket.command.user,ToDepositCommand,16,3,0,0,4,1,1,1,1,1
server,by.training.cryptomarket.command.user,SetLimitOrderCommand,232,3,17,0,54,1,10,1,1,1
server,by.training.cryptomarket.command.user,ToCabinetCommand,40,3,4,0,9,1,4,1,1,1
server,by.training.cryptomarket.command.user,ToMyOrdersCommand,19,3,0,0,4,1,1,1,1,1
server,by.training.cryptomarket.command.user,ExecuteMarketOrderCommand,371,3,35,0,71,1,19,1,1,1
server,by.training.cryptomarket.command.user,ToWalletCommand,30,3,0,0,6,1,1,1,1,1
server,by.training.cryptomarket.command.user,ToWithdrawCommand,16,3,0,0,4,1,1,1,1,1
server,by.training.cryptomarket.command.user,ToMarketCommand,94,3,6,0,20,1,4,1,1,1
server,by.training.cryptomarket.command.user,SetTypeOfOrderCommand,14,3,0,0,3,1,1,1,1,1
server,by.training.cryptomarket.command.user,WithdrawCommand,20,70,1,1,7,15,1,2,0,2
server,by.training.cryptomarket.command.user,RejectOrderCommand,29,3,0,0,6,1,1,1,1,1
server,by.training.cryptomarket.command.user,DepositCommand,12,56,1,1,4,11,1,2,0,2
server,by.training.cryptomarket.command,CommandFactory,6,15,1,1,1,6,1,3,0,3
server,by.training.cryptomarket.aspects,TestAspect,0,32,0,0,0,6,0,4,0,4
server,by.training.cryptomarket.command.admin,ApproveTransactionCommand,19,3,0,0,6,1,1,1,1,1
server,by.training.cryptomarket.command.admin,RejectTransactionCommand,63,3,3,0,15,1,3,1,1,1
server,by.training.cryptomarket.command.general,ChangeLanguageCommand,0,17,0,0,0,4,0,2,0,2
server,by.training.cryptomarket.command.general,LogoutCommand,6,3,0,0,2,1,1,1,1,1
server,by.training.cryptomarket.command.general,ToRegistrationCommand,7,3,0,0,2,1,1,1,1,1
server,by.training.cryptomarket.command.general,LoginCommand,159,3,14,0,35,1,9,1,1,1
server,by.training.cryptomarket.command.general,RegistrationCommand,21,109,6,6,6,27,6,2,0,2
server,by.training.cryptomarket.command.sec,TogglePairCommand,17,3,0,0,4,1,1,1,1,1
server,by.training.cryptomarket.controller.interceptor,LanguageInterceptor,519,3,4,0,89,1,3,1,1,1
